Row ID,Bulan,Tahun,Total Day,LOCATION,Region,Position,Pemakaian,Baseline per day,Baseline,,Row ID,Bulan,TAHUN,Total Day,Area,Region,Position,REAL,Baseline per day,BATAS,,month,Realisasi,BASELINE,EFISIENSI kWh 2023,Persentase,,LOKASI,Total Pemakaian 2024,Total Pemakaian 2023,Total Baseline per lokasi 2023,,MONTH,REALISASI,BASELINE PERBULAN 2024,EFISIENSI kWh 2024,persentase,,BULAN,TEMPAT,DASAR,PENGGUNAAN,PENGHEMATAN,RANK
38,FEBRUARY,2023,28,ER FTM,REGION 1,STATION ELEVATED,60197,2254,63112,,38,MARCH,2024,31,ER HJN,REGION 2,ELEVATED,33303,-,44224,,,,,,,,,,,,,,,,,,,March,Haji Nawi ,43788,33303,23.90%,2
39,MARCH,2023,31,ER FTM,REGION 1,STATION ELEVATED,73055,2254,69874,,39,MARCH,2024,31,ER BLA,REGION 2,ELEVATED,33256,-,43088,,,,,,,,,,,,,,,,,,,March,Blok A,42083,33256,21.00%,4
40,APRIL,2023,30,ER FTM,REGION 1,STATION ELEVATED,65622,2254,67620,,40,MARCH,2024,31,ER BLM,REGION 2,ELEVATED,56659,-,60990,,,,,,,,,,,,,,,,,,,March,Blok M,59673,56659,5.10%,9
41,MAY,2023,31,ER FTM,REGION 1,STATION ELEVATED,63052,2254,69874,,41,MARCH,2024,31,ER ASN ,REGION 2,UNDERGROND,55059,-,68904,,,,,,,,,,,,,,,,,,,March,Asean,"69,851","55,059",21.20%,3
42,JUNE,2023,30,ER FTM,REGION 1,STATION ELEVATED,61876,2254,67620,,42,MARCH,2024,31,ER SNY,REGION 3,UNDERGROND,254110,-,261240,,,,,,,,,,,,,,,,,,,March,Senayan,"259,679","254,110",2.10%,13
43,JULY,2023,31,ER FTM,REGION 1,STATION ELEVATED,68255,2254,69874,,43,MARCH,2024,31,ER IST,REGION 3,UNDERGROND,283903,-,296939,,,,,,,,,,,,,,,,,,,March,Istora,"307,893","283,903",7.80%,8
44,AUGUST,2023,31,ER FTM,REGION 1,STATION ELEVATED,65668,2254,69874,,44,MARCH,2024,31,ER BNH,REGION 3,UNDERGROND,331981,-,321360,,,,,,,,,,,,,,,,,,,March,Bendungan Hilir,"369,735","331,981",10.20%,6
45,SEPTEMBER,2023,30,ER FTM,REGION 1,STATION ELEVATED,73665,2254,67620,,45,MARCH,2024,31,ER STB,REGION 3,UNDERGROND,308181,-,319496,,,,,,,,,,,,,,,,,,,March,Setiabudi,"350,311","308,181",12.00%,5
46,OCTOBER,2023,31,ER FTM,REGION 1,STATION ELEVATED,68771,2254,69874,,46,MARCH,2024,31,ER DKA,REGION 3,UNDERGROND,524068,-,488957,,,,,,,,,,,,,,,,,,,March,Dukuh Atas,"541,148","524,068",3.20%,11
47,NOVEMBER,2023,30,ER FTM,REGION 1,STATION ELEVATED,75299,2254,67620,,47,MARCH,2024,31,ER BHI,REGION 3,UNDERGROND,499174,-,508532,,,,,,,,,,,,,,,,,,,March,Bundaram HI,"496,196","499,174",-0.60%,15
